date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2008-10-17,sh.000001,1921.8420,1941.2990,1902.5980,1930.6510,1909.9410,3864729800,26152709540.0000,3,0.008264,1,1.084325,0
2008-10-20,sh.000001,1924.1770,1979.8390,1890.9200,1974.0060,1930.6510,4456978500,32116330019.0000,3,0.009527,1,2.245615,0
2008-10-21,sh.000001,1978.6740,1996.6580,1956.1100,1958.5290,1974.0060,5409673900,38697702640.0000,3,0.011560,1,-0.784037,0
2008-10-22,sh.000001,1932.6770,1950.7910,1894.3100,1895.8220,1958.5290,4831036700,32351379339.0000,3,0.010323,1,-3.201741,0
2008-10-23,sh.000001,1851.2590,1879.8490,1828.3080,1875.5610,1895.8220,4783006500,32972464801.0000,3,0.010217,1,-1.068718,0
2008-10-24,sh.000001,1875.6310,1888.1010,1825.5260,1839.6210,1875.5610,4624458000,31704770170.0000,3,0.009820,1,-1.916230,0
2008-10-27,sh.000001,1809.2250,1809.2250,1721.6040,1723.3510,1839.6210,5053479700,32207683928.0000,3,0.010720,1,-6.320324,0
2008-10-28,sh.000001,1671.3960,1786.4350,1664.9250,1771.8210,1723.3510,5984744100,39753246774.0000,3,0.012695,1,2.812549,0
2008-10-29,sh.000001,1786.2000,1795.0870,1719.3350,1719.8120,1771.8210,5218851800,35421622163.0000,3,0.011066,1,-2.935344,0
2008-10-30,sh.000001,1732.7720,1788.2040,1710.7260,1763.6070,1719.8120,5356092000,35407672682.0000,3,0.011356,1,2.546502,0
2008-10-31,sh.000001,1754.2060,1765.6790,1721.5900,1728.7860,1763.6070,4021961900,25155807727.0000,3,0.008526,1,-1.974422,0
2008-11-03,sh.000001,1713.7630,1750.3190,1702.9810,1719.7740,1728.7860,3585833300,23130131374.0000,3,0.007588,1,-0.521289,0
2008-11-04,sh.000001,1707.9250,1717.1010,1678.9570,1706.7030,1719.7740,3925345700,23806945355.0000,3,0.008305,1,-0.760044,0
2008-11-05,sh.000001,1716.2190,1788.2580,1716.2190,1760.6090,1706.7030,6031791100,37571925290.0000,3,0.012757,1,3.158488,0
2008-11-06,sh.000001,1720.4210,1728.2190,1703.0990,1717.7220,1760.6090,4568071200,27071743425.0000,3,0.009661,1,-2.435916,0
2008-11-07,sh.000001,1686.5240,1762.2330,1680.6020,1747.7130,1717.7220,4680765800,28642256306.0000,3,0.009896,1,1.745973,0
2008-11-10,sh.000001,1782.3050,1876.1620,1782.3050,1874.8010,1747.7130,9127326300,56867292119.0000,3,0.019278,1,7.271675,0
2008-11-11,sh.000001,1872.0670,1887.7950,1840.9160,1843.6070,1874.8010,9087918500,56734541210.0000,3,0.019194,1,-1.663855,0
2008-11-12,sh.000001,1820.4390,1863.8960,1815.0760,1859.1100,1843.6070,6587332100,40990801856.0000,3,0.013910,1,0.840902,0
2008-11-13,sh.000001,1837.2740,1942.8970,1825.8830,1927.6130,1859.1100,12106744100,78179424925.0000,3,0.025565,1,3.684723,0
2008-11-14,sh.000001,1943.9640,1987.2610,1921.8360,1986.4380,1927.6130,13043949300,87849964152.0000,3,0.027535,1,3.051699,0
2008-11-17,sh.000001,1981.2640,2031.1030,1963.8540,2030.4850,1986.4380,13684065600,90212326476.0000,3,0.028846,1,2.217386,0
2008-11-18,sh.000001,2020.9860,2050.8790,1889.8650,1902.4300,2030.4850,15669887900,101452985667.0000,3,0.032990,1,-6.306618,0
2008-11-19,sh.000001,1889.3510,2023.9110,1883.8350,2017.4740,1902.4300,12880964500,84200307892.0000,3,0.027096,1,6.047210,0
2008-11-20,sh.000001,1977.2080,2030.8680,1956.7340,1983.7600,2017.4740,13084057800,86046868710.0000,3,0.027515,1,-1.671099,0
2008-11-21,sh.000001,1932.5960,2013.1790,1893.1470,1969.3890,1983.7600,12712308400,83780374506.0000,3,0.026661,1,-0.724431,0
2008-11-24,sh.000001,1961.2060,1974.4700,1893.3430,1897.0600,1969.3890,8451944400,54807506516.0000,3,0.017708,1,-3.672661,0
2008-11-25,sh.000001,1925.2480,1939.3690,1858.1650,1888.7150,1897.0600,6954117400,45757936706.0000,3,0.014570,1,-0.439896,0
2008-11-26,sh.000001,1890.3330,1914.7080,1873.1790,1897.8840,1888.7150,6514000300,42237583195.0000,3,0.013648,1,0.485466,0
2008-11-27,sh.000001,2012.6860,2022.4830,1916.4660,1917.8610,1897.8840,12233712600,83969160775.0000,3,0.025636,1,1.052590,0
2008-11-28,sh.000001,1901.6750,1915.2740,1856.2860,1871.1560,1917.8610,7772228100,50507472562.0000,3,0.016250,1,-2.435263,0
2008-12-01,sh.000001,1865.7430,1895.7560,1838.1000,1894.6150,1871.1560,8189035300,52236308371.0000,3,0.017094,1,1.253716,0
2008-12-02,sh.000001,1856.9700,1907.7750,1846.5330,1889.6380,1894.6150,10428893400,67566346386.0000,3,0.021769,1,-0.262695,0
2008-12-03,sh.000001,1903.4290,1965.8300,1902.9400,1965.4140,1889.6380,13491612400,89000038983.0000,3,0.028151,1,4.010080,0
2008-12-04,sh.000001,1992.7200,2055.2070,1985.1980,2001.5040,1965.4140,17595228000,122821692142.0000,3,0.036711,1,1.836259,0
2008-12-05,sh.000001,1984.2580,2019.7480,1975.7110,2018.6560,2001.5040,11849033600,80997863137.0000,3,0.024695,1,0.856954,0
2008-12-08,sh.000001,2049.1620,2091.2840,2038.1890,2090.7730,2018.6560,16497306100,116505288299.0000,3,0.034334,1,3.572523,0
2008-12-09,sh.000001,2100.7720,2100.8060,2036.8890,2037.7400,2090.7730,14533417900,104021561914.0000,3,0.030209,1,-2.536524,0
2008-12-10,sh.000001,2025.0270,2079.5520,2005.5580,2079.1170,2037.7400,12825105000,93077445923.0000,3,0.026651,1,2.030531,0
2008-12-11,sh.000001,2072.5770,2087.1960,2028.7260,2031.6810,2079.1170,12169674400,87773804500.0000,3,0.025289,1,-2.281541,0
2008-12-12,sh.000001,2014.5800,2023.1770,1932.2720,1954.2150,2031.6810,10814780800,73375910942.0000,3,0.022473,1,-3.812905,0
2008-12-15,sh.000001,1977.0280,1989.3030,1936.5610,1964.3740,1954.2150,8153695100,55210424406.0000,3,0.016935,1,0.519854,0
2008-12-16,sh.000001,1948.8590,1976.7190,1907.8260,1975.0060,1964.3740,7832854400,52832685888.0000,3,0.016269,1,0.541239,0
2008-12-17,sh.000001,1983.8360,2003.3750,1971.8160,1976.8190,1975.0060,9724727800,68394891258.0000,3,0.020198,1,0.091797,0
2008-12-18,sh.000001,1978.9740,2016.5690,1958.9750,2015.6940,1976.8190,9216030400,64930771689.0000,3,0.019140,1,1.966543,0
2008-12-19,sh.000001,2006.2080,2038.6570,1997.1200,2018.4630,2015.6940,10218339200,72954018626.0000,3,0.021186,1,0.137374,0
2008-12-22,sh.000001,2016.4540,2016.4540,1965.3540,1987.7550,2018.4630,8682054800,60430366505.0000,3,0.017959,1,-1.521356,0
2008-12-23,sh.000001,1990.0490,1990.0490,1895.1780,1897.2250,1987.7550,9898595500,66982772287.0000,3,0.020474,1,-4.554386,0
2008-12-24,sh.000001,1873.5770,1887.3140,1850.8550,1863.8000,1897.2250,7449575600,48333598104.0000,3,0.015405,1,-1.761780,0
2008-12-25,sh.000001,1865.7210,1877.7680,1832.3550,1852.4190,1863.8000,6456614700,42169635258.0000,3,0.013308,1,-0.610640,0
2008-12-26,sh.000001,1852.9110,1866.6300,1840.1910,1851.5180,1852.4190,5325620100,34864413042.0000,3,0.010964,1,-0.048639,0
2008-12-29,sh.000001,1846.3040,1856.3340,1815.4070,1850.4800,1851.5180,5502139900,37095629471.0000,3,0.011245,1,-0.056060,0
2008-12-30,sh.000001,1851.9090,1862.9370,1826.9800,1832.9100,1850.4800,5646622100,37852627021.0000,3,0.011498,1,-0.949480,0
2008-12-31,sh.000001,1834.9490,1844.3670,1814.7520,1820.8050,1832.9100,5039609900,33526169662.0000,3,0.010261,1,-0.660424,0
